score,rec,score_total,recommendation,rationale,url,titulo,ubicacion,precio,m2,habitaciones,baños,planta,ascensor,plataforma,tipo,estado,año
85.0,opportunity,85.0,strong_opportunity,,https://www.yaencontre.com/venta/piso/inmueble-50964-111079629?utm_source=social&utm_medium=social&utm_campaign=share-android-detail-photo,Venta de piso en La Luz - El Torcal de 3 habitaciones con terraza y aire acondicionado,La Luz - El Torcal,245000.0,73.0,3.0,1.0,planta 6ª,Sí,yaencontre,Piso,buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/111525009/,Piso en venta en Vistafranca,"Carretera de Cádiz, Málaga",234999.0,80.0,3.0,1.0,Planta 3ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/111201106/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Olletas - Sierra Blanquilla,"Centro, Málaga",175000.0,107.0,3.0,2.0,Planta 4ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/111303826/,Piso en venta en Calle Santa Marta,"Cruz del Humilladero - Los Tilos, Málaga",199900.0,76.0,3.0,1.0,Planta 5ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/111391129/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Conde de Ureña,"Centro, Málaga",190000.0,52.0,2.0,1.0,Entreplanta exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/110794753/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,"Piso en venta en Plaza de Miraflores, 3","Victoria Eugenia, Málaga",230000.0,80.0,3.0,1.0,Planta 11ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/111219832/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Avenida Antonio Gaudi,"La Luz, Málaga",239900.0,83.0,3.0,1.0,Planta 4ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.idealista.com/inmueble/110734010/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Girón - Las Delicias - Pacífico,"Carretera de Cádiz, Málaga",188900.0,67.0,3.0,1.0,Planta 4ª exterior sin ascensor,No,idealista,Piso,Segunda mano/buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.yaencontre.com/venta/piso/inmueble-41932-110949756,Piso en venta en Carranque - Haza Cuevas de 3 habitaciones con ascensor,Carranque - Haza Cuevas,167356.0,96.0,3.0,1.0,,Sí,yaencontre,Piso,buen estado,
85.0,opportunity,85.0,strong_opportunity,,https://www.yaencontre.com/venta/piso/inmueble-36105-107761932,Piso en venta en Perchel Norte - La Trinidad de 2 habitaciones con ascensor,Perchel Norte - La Trinidad,185833.0,60.0,2.0,2.0,planta 1ª,Sí,yaencontre,Piso,buen estado,
83.0,opportunity,83.0,strong_opportunity,,https://www.idealista.com/inmueble/110605334/?utm_medium=socialmedia&utm_campaign=private_sendadtofriend&utm_source=notifications,Piso en venta en Avenida Juan XXIII,"Nuevo San Andrés - Dos Hermanas, Málaga",242500.0,90.0,3.0,1.0,Planta 4ª exterior con ascensor,Sí,idealista,Piso,Segunda mano/buen estado,1966.0
